,index,metric,dataset_name,target
139,139,MACRO_PRECISION,Arabic200,0
140,140,MACRO_PRECISION,genbase,1
141,141,MACRO_PRECISION,stackex_chess,0
142,142,MACRO_PRECISION,GpositiveGO,2
143,143,MACRO_PRECISION,PlantGO,0
144,144,MACRO_PRECISION,GnegativeGO,1
145,145,MACRO_PRECISION,bibtex,1
146,146,MACRO_PRECISION,slashdot,0
147,147,MACRO_PRECISION,tmc2007_500,0
148,148,MACRO_PRECISION,langlog,2
149,149,MACRO_PRECISION,stackex_philosophy,2
150,150,MACRO_PRECISION,reutersk500,1
151,151,MACRO_PRECISION,proteins_human,2
152,152,MACRO_PRECISION,Water_quality,0
153,153,MACRO_PRECISION,PlantPseAAC,0
154,154,MACRO_PRECISION,Yelp,1
155,155,MACRO_PRECISION,CHD_49,0
156,156,MACRO_PRECISION,flags,0
157,157,MACRO_PRECISION,proteins_virus,2
158,158,MACRO_PRECISION,VirusGO,0
159,159,MACRO_PRECISION,GnegativePseACC,0
160,160,ONE_ERROR,medical,2
161,161,ONE_ERROR,birds,1
162,162,ONE_ERROR,proteins_plant,2
163,163,ONE_ERROR,emotions,0
164,164,ONE_ERROR,enron,0
165,165,ONE_ERROR,foodtruck,0
166,166,ONE_ERROR,delicious,1
167,167,ONE_ERROR,scene,1
168,168,ONE_ERROR,HumanPseAAC,1
169,169,ONE_ERROR,ABPM,0
170,170,ONE_ERROR,corel5k,1
171,171,ONE_ERROR,yeast,0
172,172,ONE_ERROR,HumanGO,0
173,173,ONE_ERROR,GpositivePseAAC,0
174,174,ONE_ERROR,cal500,0
175,175,ONE_ERROR,stackex_cs,1
176,176,ONE_ERROR,ohsumed,1
177,177,ONE_ERROR,Virus_PseAAC,0
178,178,ONE_ERROR,ng20,1
179,179,ONE_ERROR,Arabic200,1
180,180,ONE_ERROR,genbase,0
181,181,ONE_ERROR,stackex_chess,1
182,182,ONE_ERROR,GpositiveGO,2
183,183,ONE_ERROR,PlantGO,2
184,184,ONE_ERROR,GnegativeGO,2
185,185,ONE_ERROR,bibtex,1
186,186,ONE_ERROR,slashdot,1
187,187,ONE_ERROR,tmc2007_500,1
188,188,ONE_ERROR,langlog,1
189,189,ONE_ERROR,stackex_philosophy,1
190,190,ONE_ERROR,reutersk500,1
191,191,ONE_ERROR,proteins_human,2
192,192,ONE_ERROR,Water_quality,0
193,193,ONE_ERROR,PlantPseAAC,1
194,194,ONE_ERROR,Yelp,1
195,195,ONE_ERROR,CHD_49,0
196,196,ONE_ERROR,flags,0
197,197,ONE_ERROR,proteins_virus,2
198,198,ONE_ERROR,VirusGO,2
199,199,ONE_ERROR,GnegativePseACC,1
200,200,ACCURACY_example_based,medical,0
201,201,ACCURACY_example_based,birds,1
202,202,ACCURACY_example_based,proteins_plant,2
203,203,ACCURACY_example_based,emotions,0
204,204,ACCURACY_example_based,enron,0
205,205,ACCURACY_example_based,foodtruck,0
206,206,ACCURACY_example_based,delicious,1
207,207,ACCURACY_example_based,scene,0
208,208,ACCURACY_example_based,HumanPseAAC,1
209,209,ACCURACY_example_based,ABPM,1
210,210,ACCURACY_example_based,corel5k,0
211,211,ACCURACY_example_based,yeast,0
212,212,ACCURACY_example_based,HumanGO,0
213,213,ACCURACY_example_based,GpositivePseAAC,0
214,214,ACCURACY_example_based,cal500,0
215,215,ACCURACY_example_based,stackex_cs,1
216,216,ACCURACY_example_based,ohsumed,0
217,217,ACCURACY_example_based,Virus_PseAAC,2
218,218,ACCURACY_example_based,ng20,1
219,219,ACCURACY_example_based,Arabic200,0
220,220,ACCURACY_example_based,genbase,1
221,221,ACCURACY_example_based,stackex_chess,2
222,222,ACCURACY_example_based,GpositiveGO,2
223,223,ACCURACY_example_based,PlantGO,0
224,224,ACCURACY_example_based,GnegativeGO,0
225,225,ACCURACY_example_based,bibtex,2
226,226,ACCURACY_example_based,slashdot,1
227,227,ACCURACY_example_based,tmc2007_500,1
228,228,ACCURACY_example_based,langlog,1
229,229,ACCURACY_example_based,stackex_philosophy,1
230,230,ACCURACY_example_based,reutersk500,1
231,231,ACCURACY_example_based,proteins_human,2
232,232,ACCURACY_example_based,Water_quality,0
233,233,ACCURACY_example_based,PlantPseAAC,0
234,234,ACCURACY_example_based,Yelp,1
235,235,ACCURACY_example_based,CHD_49,2
236,236,ACCURACY_example_based,flags,0
237,237,ACCURACY_example_based,proteins_virus,2
238,238,ACCURACY_example_based,VirusGO,2
239,239,ACCURACY_example_based,GnegativePseACC,1
240,240,F1_example_based,medical,0
241,241,F1_example_based,birds,1
242,242,F1_example_based,proteins_plant,2
243,243,F1_example_based,emotions,1
244,244,F1_example_based,enron,0
245,245,F1_example_based,foodtruck,0
246,246,F1_example_based,delicious,1
247,247,F1_example_based,scene,0
248,248,F1_example_based,HumanPseAAC,1
249,249,F1_example_based,ABPM,1
250,250,F1_example_based,corel5k,0
251,251,F1_example_based,yeast,0
252,252,F1_example_based,HumanGO,0
253,253,F1_example_based,GpositivePseAAC,0
254,254,F1_example_based,cal500,0
255,255,F1_example_based,stackex_cs,1
256,256,F1_example_based,ohsumed,0
257,257,F1_example_based,Virus_PseAAC,0
258,258,F1_example_based,ng20,1
259,259,F1_example_based,Arabic200,0
260,260,F1_example_based,genbase,1
261,261,F1_example_based,stackex_chess,2
262,262,F1_example_based,GpositiveGO,2
263,263,F1_example_based,PlantGO,0
264,264,F1_example_based,GnegativeGO,0
265,265,F1_example_based,bibtex,2
266,266,F1_example_based,slashdot,1
267,267,F1_example_based,tmc2007_500,1
268,268,F1_example_based,langlog,1
269,269,F1_example_based,stackex_philosophy,1
270,270,F1_example_based,reutersk500,1
271,271,F1_example_based,proteins_human,2
272,272,F1_example_based,Water_quality,0
273,273,F1_example_based,PlantPseAAC,0
274,274,F1_example_based,Yelp,1
275,275,F1_example_based,CHD_49,1
276,276,F1_example_based,flags,0
277,277,F1_example_based,proteins_virus,2
278,278,F1_example_based,VirusGO,2
279,279,F1_example_based,GnegativePseACC,1
280,280,MICRO_RECALL,medical,0
281,281,MICRO_RECALL,birds,0
282,282,MICRO_RECALL,proteins_plant,2
283,283,MICRO_RECALL,emotions,1
284,284,MICRO_RECALL,enron,1
285,285,MICRO_RECALL,foodtruck,0
286,286,MICRO_RECALL,delicious,1
287,287,MICRO_RECALL,scene,0
288,288,MICRO_RECALL,HumanPseAAC,1
289,289,MICRO_RECALL,ABPM,1
290,290,MICRO_RECALL,corel5k,0
291,291,MICRO_RECALL,yeast,0
292,292,MICRO_RECALL,HumanGO,0
293,293,MICRO_RECALL,GpositivePseAAC,1
294,294,MICRO_RECALL,cal500,0
295,295,MICRO_RECALL,stackex_cs,1
296,296,MICRO_RECALL,ohsumed,1
297,297,MICRO_RECALL,Virus_PseAAC,0
298,298,MICRO_RECALL,ng20,1
299,299,MICRO_RECALL,Arabic200,0
300,300,MICRO_RECALL,genbase,1
301,301,MICRO_RECALL,stackex_chess,0
302,302,MICRO_RECALL,GpositiveGO,2
303,303,MICRO_RECALL,PlantGO,0
304,304,MICRO_RECALL,GnegativeGO,0
305,305,MICRO_RECALL,bibtex,2
306,306,MICRO_RECALL,slashdot,1
307,307,MICRO_RECALL,tmc2007_500,1
308,308,MICRO_RECALL,langlog,1
309,309,MICRO_RECALL,stackex_philosophy,0
310,310,MICRO_RECALL,reutersk500,1
311,311,MICRO_RECALL,proteins_human,2
312,312,MICRO_RECALL,Water_quality,0
313,313,MICRO_RECALL,PlantPseAAC,1
314,314,MICRO_RECALL,Yelp,1
315,315,MICRO_RECALL,CHD_49,2
316,316,MICRO_RECALL,flags,1
317,317,MICRO_RECALL,proteins_virus,2
318,318,MICRO_RECALL,VirusGO,2
319,319,MICRO_RECALL,GnegativePseACC,1
320,320,PRECISION_example_based,medical,0
321,321,PRECISION_example_based,birds,1
322,322,PRECISION_example_based,proteins_plant,2
323,323,PRECISION_example_based,emotions,0
324,324,PRECISION_example_based,enron,0
325,325,PRECISION_example_based,foodtruck,1
326,326,PRECISION_example_based,delicious,0
327,327,PRECISION_example_based,scene,0
328,328,PRECISION_example_based,HumanPseAAC,1
329,329,PRECISION_example_based,ABPM,1
330,330,PRECISION_example_based,corel5k,1
331,331,PRECISION_example_based,yeast,1
332,332,PRECISION_example_based,HumanGO,0
333,333,PRECISION_example_based,GpositivePseAAC,0
334,334,PRECISION_example_based,cal500,0
335,335,PRECISION_example_based,stackex_cs,1
336,336,PRECISION_example_based,ohsumed,0
337,337,PRECISION_example_based,Virus_PseAAC,2
338,338,PRECISION_example_based,ng20,1
339,339,PRECISION_example_based,Arabic200,0
340,340,PRECISION_example_based,genbase,1
341,341,PRECISION_example_based,stackex_chess,1
342,342,PRECISION_example_based,GpositiveGO,2
343,343,PRECISION_example_based,PlantGO,0
344,344,PRECISION_example_based,GnegativeGO,0
345,345,PRECISION_example_based,bibtex,1
346,346,PRECISION_example_based,slashdot,1
347,347,PRECISION_example_based,tmc2007_500,1
348,348,PRECISION_example_based,langlog,1
349,349,PRECISION_example_based,stackex_philosophy,1
350,350,PRECISION_example_based,reutersk500,1
351,351,PRECISION_example_based,proteins_human,2
352,352,PRECISION_example_based,Water_quality,0
353,353,PRECISION_example_based,PlantPseAAC,0
354,354,PRECISION_example_based,Yelp,1
355,355,PRECISION_example_based,CHD_49,0
356,356,PRECISION_example_based,flags,0
357,357,PRECISION_example_based,proteins_virus,2
358,358,PRECISION_example_based,VirusGO,2
359,359,PRECISION_example_based,GnegativePseACC,1
360,360,MICRO_F1,medical,2
361,361,MICRO_F1,birds,1
362,362,MICRO_F1,proteins_plant,2
363,363,MICRO_F1,emotions,0
364,364,MICRO_F1,enron,1
365,365,MICRO_F1,foodtruck,0
366,366,MICRO_F1,delicious,0
367,367,MICRO_F1,scene,0
368,368,MICRO_F1,HumanPseAAC,1
369,369,MICRO_F1,ABPM,1
370,370,MICRO_F1,corel5k,1
371,371,MICRO_F1,yeast,0
372,372,MICRO_F1,HumanGO,0
373,373,MICRO_F1,GpositivePseAAC,1
374,374,MICRO_F1,cal500,0
375,375,MICRO_F1,stackex_cs,1
376,376,MICRO_F1,ohsumed,1
377,377,MICRO_F1,Virus_PseAAC,0
378,378,MICRO_F1,ng20,1
379,379,MICRO_F1,Arabic200,0
380,380,MICRO_F1,genbase,1
381,381,MICRO_F1,stackex_chess,1
382,382,MICRO_F1,GpositiveGO,2
383,383,MICRO_F1,PlantGO,0
384,384,MICRO_F1,GnegativeGO,0
385,385,MICRO_F1,bibtex,1
386,386,MICRO_F1,slashdot,1
387,387,MICRO_F1,tmc2007_500,1
388,388,MICRO_F1,langlog,1
389,389,MICRO_F1,stackex_philosophy,1
390,390,MICRO_F1,reutersk500,1
391,391,MICRO_F1,proteins_human,2
392,392,MICRO_F1,Water_quality,0
393,393,MICRO_F1,PlantPseAAC,1
394,394,MICRO_F1,Yelp,1
395,395,MICRO_F1,CHD_49,1
396,396,MICRO_F1,flags,0
397,397,MICRO_F1,proteins_virus,2
398,398,MICRO_F1,VirusGO,2
399,399,MICRO_F1,GnegativePseACC,1
400,400,HAMMING_LOSS_example_based,medical,1
401,401,HAMMING_LOSS_example_based,birds,1
402,402,HAMMING_LOSS_example_based,proteins_plant,2
403,403,HAMMING_LOSS_example_based,emotions,0
404,404,HAMMING_LOSS_example_based,enron,0
405,405,HAMMING_LOSS_example_based,foodtruck,0
406,406,HAMMING_LOSS_example_based,delicious,0
407,407,HAMMING_LOSS_example_based,scene,1
408,408,HAMMING_LOSS_example_based,HumanPseAAC,0
409,409,HAMMING_LOSS_example_based,ABPM,1
410,410,HAMMING_LOSS_example_based,corel5k,0
411,411,HAMMING_LOSS_example_based,yeast,1
412,412,HAMMING_LOSS_example_based,HumanGO,0
413,413,HAMMING_LOSS_example_based,GpositivePseAAC,1
414,414,HAMMING_LOSS_example_based,cal500,0
415,415,HAMMING_LOSS_example_based,stackex_cs,0
416,416,HAMMING_LOSS_example_based,ohsumed,1
417,417,HAMMING_LOSS_example_based,Virus_PseAAC,0
418,418,HAMMING_LOSS_example_based,ng20,1
419,419,HAMMING_LOSS_example_based,Arabic200,0
420,420,HAMMING_LOSS_example_based,genbase,1
421,421,HAMMING_LOSS_example_based,stackex_chess,1
422,422,HAMMING_LOSS_example_based,GpositiveGO,2
423,423,HAMMING_LOSS_example_based,PlantGO,0
424,424,HAMMING_LOSS_example_based,GnegativeGO,0
425,425,HAMMING_LOSS_example_based,bibtex,1
426,426,HAMMING_LOSS_example_based,slashdot,1
427,427,HAMMING_LOSS_example_based,tmc2007_500,1
428,428,HAMMING_LOSS_example_based,langlog,0
429,429,HAMMING_LOSS_example_based,stackex_philosophy,1
430,430,HAMMING_LOSS_example_based,reutersk500,0
431,431,HAMMING_LOSS_example_based,proteins_human,2
432,432,HAMMING_LOSS_example_based,Water_quality,0
433,433,HAMMING_LOSS_example_based,PlantPseAAC,1
434,434,HAMMING_LOSS_example_based,Yelp,1
435,435,HAMMING_LOSS_example_based,CHD_49,0
436,436,HAMMING_LOSS_example_based,flags,0
437,437,HAMMING_LOSS_example_based,proteins_virus,2
438,438,HAMMING_LOSS_example_based,VirusGO,2
439,439,HAMMING_LOSS_example_based,GnegativePseACC,1
440,440,SUBSET_ACCURACY,medical,0
441,441,SUBSET_ACCURACY,birds,1
442,442,SUBSET_ACCURACY,proteins_plant,2
443,443,SUBSET_ACCURACY,emotions,0
444,444,SUBSET_ACCURACY,enron,0
445,445,SUBSET_ACCURACY,foodtruck,1
446,446,SUBSET_ACCURACY,delicious,1
447,447,SUBSET_ACCURACY,scene,0
448,448,SUBSET_ACCURACY,HumanPseAAC,1
449,449,SUBSET_ACCURACY,ABPM,1
450,450,SUBSET_ACCURACY,corel5k,1
451,451,SUBSET_ACCURACY,yeast,1
452,452,SUBSET_ACCURACY,HumanGO,0
453,453,SUBSET_ACCURACY,GpositivePseAAC,0
454,454,SUBSET_ACCURACY,cal500,1
455,455,SUBSET_ACCURACY,stackex_cs,1
456,456,SUBSET_ACCURACY,ohsumed,0
457,457,SUBSET_ACCURACY,Virus_PseAAC,2
458,458,SUBSET_ACCURACY,ng20,0
459,459,SUBSET_ACCURACY,Arabic200,0
460,460,SUBSET_ACCURACY,genbase,1
461,461,SUBSET_ACCURACY,stackex_chess,2
462,462,SUBSET_ACCURACY,GpositiveGO,2
463,463,SUBSET_ACCURACY,PlantGO,0
464,464,SUBSET_ACCURACY,GnegativeGO,0
465,465,SUBSET_ACCURACY,bibtex,1
466,466,SUBSET_ACCURACY,slashdot,0
467,467,SUBSET_ACCURACY,tmc2007_500,1
468,468,SUBSET_ACCURACY,langlog,1
469,469,SUBSET_ACCURACY,stackex_philosophy,1
470,470,SUBSET_ACCURACY,reutersk500,1
471,471,SUBSET_ACCURACY,proteins_human,2
472,472,SUBSET_ACCURACY,Water_quality,1
473,473,SUBSET_ACCURACY,PlantPseAAC,0
474,474,SUBSET_ACCURACY,Yelp,1
475,475,SUBSET_ACCURACY,CHD_49,2
476,476,SUBSET_ACCURACY,flags,0
477,477,SUBSET_ACCURACY,proteins_virus,2
478,478,SUBSET_ACCURACY,VirusGO,2
479,479,SUBSET_ACCURACY,GnegativePseACC,0
480,480,MACRO_RECALL,medical,1
481,481,MACRO_RECALL,birds,0
482,482,MACRO_RECALL,proteins_plant,2
483,483,MACRO_RECALL,emotions,1
484,484,MACRO_RECALL,enron,1
485,485,MACRO_RECALL,foodtruck,1
486,486,MACRO_RECALL,delicious,1
487,487,MACRO_RECALL,scene,0
488,488,MACRO_RECALL,HumanPseAAC,1
489,489,MACRO_RECALL,ABPM,2
490,490,MACRO_RECALL,corel5k,1
491,491,MACRO_RECALL,yeast,0
492,492,MACRO_RECALL,HumanGO,2
493,493,MACRO_RECALL,GpositivePseAAC,1
494,494,MACRO_RECALL,cal500,1
495,495,MACRO_RECALL,stackex_cs,2
496,496,MACRO_RECALL,ohsumed,2
497,497,MACRO_RECALL,Virus_PseAAC,2
498,498,MACRO_RECALL,ng20,1
499,499,MACRO_RECALL,Arabic200,2
500,500,MACRO_RECALL,genbase,1
501,501,MACRO_RECALL,stackex_chess,2
502,502,MACRO_RECALL,GpositiveGO,2
503,503,MACRO_RECALL,PlantGO,0
504,504,MACRO_RECALL,GnegativeGO,1
505,505,MACRO_RECALL,bibtex,2
506,506,MACRO_RECALL,slashdot,1
507,507,MACRO_RECALL,tmc2007_500,2
508,508,MACRO_RECALL,langlog,2
509,509,MACRO_RECALL,stackex_philosophy,2
510,510,MACRO_RECALL,reutersk500,1
511,511,MACRO_RECALL,proteins_human,2
512,512,MACRO_RECALL,Water_quality,0
513,513,MACRO_RECALL,PlantPseAAC,1
514,514,MACRO_RECALL,Yelp,1
515,515,MACRO_RECALL,CHD_49,2
516,516,MACRO_RECALL,flags,1
517,517,MACRO_RECALL,proteins_virus,2
518,518,MACRO_RECALL,VirusGO,2
519,519,MACRO_RECALL,GnegativePseACC,2
520,520,RECALL_example_based,medical,0
521,521,RECALL_example_based,birds,0
522,522,RECALL_example_based,proteins_plant,2
523,523,RECALL_example_based,emotions,1
524,524,RECALL_example_based,enron,1
525,525,RECALL_example_based,foodtruck,0
526,526,RECALL_example_based,delicious,1
527,527,RECALL_example_based,scene,0
528,528,RECALL_example_based,HumanPseAAC,1
529,529,RECALL_example_based,ABPM,1
530,530,RECALL_example_based,corel5k,0
531,531,RECALL_example_based,yeast,0
532,532,RECALL_example_based,HumanGO,0
533,533,RECALL_example_based,GpositivePseAAC,1
534,534,RECALL_example_based,cal500,0
535,535,RECALL_example_based,stackex_cs,1
536,536,RECALL_example_based,ohsumed,0
537,537,RECALL_example_based,Virus_PseAAC,0
538,538,RECALL_example_based,ng20,1
539,539,RECALL_example_based,Arabic200,0
540,540,RECALL_example_based,genbase,1
541,541,RECALL_example_based,stackex_chess,0
542,542,RECALL_example_based,GpositiveGO,2
543,543,RECALL_example_based,PlantGO,0
544,544,RECALL_example_based,GnegativeGO,0
545,545,RECALL_example_based,bibtex,2
546,546,RECALL_example_based,slashdot,1
547,547,RECALL_example_based,tmc2007_500,1
548,548,RECALL_example_based,langlog,1
549,549,RECALL_example_based,stackex_philosophy,0
550,550,RECALL_example_based,reutersk500,1
551,551,RECALL_example_based,proteins_human,2
552,552,RECALL_example_based,Water_quality,0
553,553,RECALL_example_based,PlantPseAAC,1
554,554,RECALL_example_based,Yelp,1
555,555,RECALL_example_based,CHD_49,1
556,556,RECALL_example_based,flags,0
557,557,RECALL_example_based,proteins_virus,2
558,558,RECALL_example_based,VirusGO,2
559,559,RECALL_example_based,GnegativePseACC,1
560,560,MICRO_PRECISION,medical,1
561,561,MICRO_PRECISION,birds,1
562,562,MICRO_PRECISION,proteins_plant,2
563,563,MICRO_PRECISION,emotions,0
564,564,MICRO_PRECISION,enron,0
565,565,MICRO_PRECISION,foodtruck,0
566,566,MICRO_PRECISION,delicious,0
567,567,MICRO_PRECISION,scene,1
568,568,MICRO_PRECISION,HumanPseAAC,1
569,569,MICRO_PRECISION,ABPM,2
570,570,MICRO_PRECISION,corel5k,1
571,571,MICRO_PRECISION,yeast,1
572,572,MICRO_PRECISION,HumanGO,0
573,573,MICRO_PRECISION,GpositivePseAAC,1
574,574,MICRO_PRECISION,cal500,0
575,575,MICRO_PRECISION,stackex_cs,0
576,576,MICRO_PRECISION,ohsumed,2
577,577,MICRO_PRECISION,Virus_PseAAC,0
578,578,MICRO_PRECISION,ng20,0
579,579,MICRO_PRECISION,Arabic200,0
580,580,MICRO_PRECISION,genbase,1
581,581,MICRO_PRECISION,stackex_chess,1
582,582,MICRO_PRECISION,GpositiveGO,2
583,583,MICRO_PRECISION,PlantGO,0
584,584,MICRO_PRECISION,GnegativeGO,0
585,585,MICRO_PRECISION,bibtex,1
586,586,MICRO_PRECISION,slashdot,1
587,587,MICRO_PRECISION,tmc2007_500,1
588,588,MICRO_PRECISION,langlog,0
589,589,MICRO_PRECISION,stackex_philosophy,1
590,590,MICRO_PRECISION,reutersk500,1
591,591,MICRO_PRECISION,proteins_human,2
592,592,MICRO_PRECISION,Water_quality,0
593,593,MICRO_PRECISION,PlantPseAAC,1
594,594,MICRO_PRECISION,Yelp,1
595,595,MICRO_PRECISION,CHD_49,0
596,596,MICRO_PRECISION,flags,0
597,597,MICRO_PRECISION,proteins_virus,2
598,598,MICRO_PRECISION,VirusGO,2
599,599,MICRO_PRECISION,GnegativePseACC,1
600,600,MACRO_F1,medical,1
601,601,MACRO_F1,birds,0
602,602,MACRO_F1,proteins_plant,2
603,603,MACRO_F1,emotions,1
604,604,MACRO_F1,enron,1
605,605,MACRO_F1,foodtruck,1
606,606,MACRO_F1,delicious,1
607,607,MACRO_F1,scene,0
608,608,MACRO_F1,HumanPseAAC,1
609,609,MACRO_F1,ABPM,2
610,610,MACRO_F1,corel5k,1
611,611,MACRO_F1,yeast,2
612,612,MACRO_F1,HumanGO,2
613,613,MACRO_F1,GpositivePseAAC,1
614,614,MACRO_F1,cal500,1
615,615,MACRO_F1,stackex_cs,2
616,616,MACRO_F1,ohsumed,2
617,617,MACRO_F1,Virus_PseAAC,2
618,618,MACRO_F1,ng20,1
619,619,MACRO_F1,Arabic200,2
620,620,MACRO_F1,genbase,1
621,621,MACRO_F1,stackex_chess,2
622,622,MACRO_F1,GpositiveGO,2
623,623,MACRO_F1,PlantGO,0
624,624,MACRO_F1,GnegativeGO,1
625,625,MACRO_F1,bibtex,2
626,626,MACRO_F1,slashdot,1
627,627,MACRO_F1,tmc2007_500,1
628,628,MACRO_F1,langlog,2
629,629,MACRO_F1,stackex_philosophy,2
630,630,MACRO_F1,reutersk500,1
631,631,MACRO_F1,proteins_human,2
632,632,MACRO_F1,Water_quality,1
633,633,MACRO_F1,PlantPseAAC,2
634,634,MACRO_F1,Yelp,1
